Fréquence (Hz)	Niveau (dB)
86,132812	-40,418373
172,265625	-18,868410
258,398438	-10,863978
344,531250	-10,892694
430,664062	-21,632504
516,796875	-36,125568
602,929688	-52,163139
689,062500	-50,389626
775,195312	-50,189674
861,328125	-49,378639
947,460938	-48,379463
1033,593750	-52,338703
1119,726562	-55,677898
1205,859375	-56,649948
1291,992188	-57,413799
1378,125000	-58,002064
1464,257812	-58,434864
1550,390625	-58,994236
1636,523438	-59,477737
1722,656250	-60,032265
1808,789062	-60,269825
1894,921875	-56,846920
1981,054688	-57,498917
2067,187500	-61,541645
2153,320312	-62,045502
2239,453125	-62,424980
2325,585938	-62,770889
2411,718750	-63,093029
2497,851562	-63,406990
2583,984375	-63,704300
2670,117188	-63,918060
2756,250000	-64,222809
2842,382812	-64,494026
2928,515625	-64,757050
3014,648438	-65,031990
3100,781250	-65,271416
3186,914062	-65,528564
3273,046875	-65,726662
3359,179688	-65,964066
3445,312500	-66,147240
3531,445312	-66,194321
3617,578125	-66,303276
3703,710938	-66,522194
3789,843750	-66,666237
3875,976562	-67,010551
3962,109375	-67,296875
4048,242188	-67,347092
4134,375000	-66,582298
4220,507812	-66,558922
4306,640625	-67,824722
4392,773438	-68,229492
4478,906250	-68,357201
4565,039062	-68,572144
4651,171875	-68,677406
4737,304688	-68,855339
4823,437500	-68,982063
4909,570312	-69,158272
4995,703125	-69,280731
5081,835938	-69,440659
5167,968750	-69,587067
5254,101562	-69,702423
5340,234375	-69,832878
5426,367188	-69,958038
5512,500000	-70,114487
5598,632812	-70,216469
5684,765625	-70,363762
5770,898438	-70,502556
5857,031250	-70,623421
5943,164062	-70,750504
6029,296875	-70,894821
6115,429688	-71,014198
6201,562500	-71,125565
6287,695312	-71,239967
6373,828125	-71,378479
6459,960938	-71,471230
6546,093750	-71,577721
6632,226562	-71,665939
6718,359375	-71,751221
6804,492188	-71,842812
6890,625000	-71,940903
6976,757812	-72,001465
7062,890625	-72,103661
7149,023438	-72,151863
7235,156250	-72,280380
7321,289062	-72,317268
7407,421875	-72,394592
7493,554688	-72,433670
7579,687500	-72,511658
7665,820312	-72,651329
7751,953125	-72,726768
7838,085938	-72,791557
7924,218750	-72,930252
8010,351562	-72,765663
8096,484375	-72,699303
8182,617188	-73,182724
8268,750000	-73,372749
8354,882812	-73,394966
8441,015625	-73,417603
8527,148438	-73,464867
8613,281250	-73,461967
8699,414062	-73,531357
8785,546875	-73,597939
8871,679688	-73,637688
8957,812500	-73,719383
9043,945312	-73,784721
9130,078125	-73,823380
9216,210938	-73,906960
9302,343750	-73,950500
9388,476562	-74,020424
9474,609375	-74,041336
9560,742188	-74,172043
9646,875000	-74,200409
9733,007812	-74,285622
9819,140625	-74,341095
9905,273438	-74,357674
9991,406250	-74,459396
10077,539062	-74,493935
10163,671875	-74,586967
10249,804688	-74,611534
10335,937500	-74,663445
10422,070312	-74,719521
10508,203125	-74,774757
10594,335938	-74,857094
10680,468750	-74,824272
10766,601562	-74,932243
10852,734375	-74,943092
10938,867188	-75,035843
11025,000000	-75,045860
11111,132812	-75,160133
11197,265625	-75,142914
11283,398438	-75,253235
11369,531250	-75,305847
11455,664062	-75,318176
11541,796875	-75,391357
11627,929688	-75,441139
11714,062500	-75,537865
11800,195312	-75,536461
11886,328125	-75,513855
11972,460938	-75,414070
12058,593750	-75,545174
12144,726562	-75,755188
12230,859375	-75,720673
12316,992188	-75,826057
12403,125000	-75,840034
12489,257812	-75,850769
12575,390625	-75,916451
12661,523438	-75,979492
12747,656250	-76,034973
12833,789062	-76,070549
12919,921875	-76,077911
13006,054688	-76,153656
13092,187500	-76,161415
13178,320312	-76,223701
13264,453125	-76,273003
13350,585938	-76,247337
13436,718750	-76,336731
13522,851562	-76,383446
13608,984375	-76,385605
13695,117188	-76,435204
13781,250000	-76,451790
13867,382812	-76,514801
13953,515625	-76,549553
14039,648438	-76,601074
14125,781250	-76,627762
14211,914062	-76,650703
14298,046875	-76,696945
14384,179688	-76,707367
14470,312500	-76,755188
14556,445312	-76,813057
14642,578125	-76,761314
14728,710938	-76,866142
14814,843750	-76,882919
14900,976562	-76,895752
14987,109375	-77,212990
15073,242188	-77,499657
15159,375000	-77,545074
15245,507812	-77,575455
15331,640625	-77,605072
15417,773438	-77,629066
15503,906250	-77,659958
15590,039062	-77,684067
15676,171875	-77,711029
15762,304688	-77,735855
15848,437500	-77,761703
15934,570312	-77,788208
16020,703125	-77,810799
16106,835938	-77,835556
16192,968750	-77,861221
16279,101562	-77,882179
16365,234375	-77,908218
16451,367188	-77,928406
16537,500000	-77,952408
16623,632812	-77,972870
16709,765625	-77,995590
16795,898438	-78,016205
16882,031250	-78,034454
16968,164062	-78,058372
17054,296875	-78,076683
17140,429688	-78,097397
17226,562500	-78,115814
17312,695312	-78,135155
17398,828125	-78,154564
17484,960938	-78,171272
17571,093750	-78,190475
17657,226562	-78,206818
17743,359375	-78,223045
17829,492188	-78,241760
17915,625000	-78,256538
18001,757812	-78,272514
18087,890625	-78,288948
18174,023438	-78,304008
18260,156250	-78,319756
18346,289062	-78,333961
18432,421875	-78,348839
18518,554688	-78,360870
18604,687500	-78,375443
18690,820312	-78,389030
18776,953125	-78,401031
18863,085938	-78,414261
18949,218750	-78,424393
19035,351562	-78,438141
19121,484375	-78,449028
19207,617188	-78,460182
19293,750000	-78,472534
19379,882812	-78,481110
19466,015625	-78,492668
19552,148438	-78,500381
19638,281250	-78,513031
19724,414062	-78,519402
19810,546875	-78,527969
19896,679688	-78,537872
19982,812500	-78,543915
20068,945312	-78,554871
20155,078125	-78,558212
20241,210938	-78,567993
20327,343750	-78,574127
20413,476562	-78,580124
20499,609375	-78,589012
20585,742188	-78,590828
20671,875000	-78,598701
20758,007812	-78,603188
20844,140625	-78,607506
20930,273438	-78,613029
21016,406250	-78,614029
21102,539062	-78,621544
21188,671875	-78,621704
21274,804688	-78,626785
21360,937500	-78,631111
21447,070312	-78,630997
21533,203125	-78,635094
21619,335938	-78,635147
21705,468750	-78,638596
21791,601562	-78,638046
21877,734375	-78,638390
21963,867188	-78,639832
